FY14,JOIN14,COUNTY14,CODISTSCH14,SCHOOLNAME14,SCHOOLTYPE14,GRADE14,ENROLLED14,FREEREDUCED14,PERCENT14,WARNING14,CEP14
2014-2015,ADAMS-KENESAW SECONDARY SCHOOL,ADAMS,10003001,KENESAW SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,122,28,0.2295,,
2014-2015,ADAMS-KENESAW ELEMENTARY SCHOOL,ADAMS,10003002,KENESAW ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,146,36,0.2466,,
2014-2015,ADAMS-HASTINGS SENIOR HIGH SCHOOL,ADAMS,10018001,HASTINGS SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1041,571,0.5485,,
2014-2015,ADAMS-HASTINGS MIDDLE SCHOOL,ADAMS,10018002,HASTINGS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,805,484,0.6012,,
2014-2015,ADAMS-ALCOTT ELEMENTARY SCHOOL,ADAMS,10018003,ALCOTT ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,289,234,0.8097,,
2014-2015,ADAMS-HAWTHORNE ELEMENTARY SCHOOL,ADAMS,10018004,HAWTHORNE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,316,146,0.462,,
2014-2015,ADAMS-LINCOLN ELEMENTARY SCHOOL,ADAMS,10018005,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,305,270,0.8852,,
2014-2015,ADAMS-LONGFELLOW ELEMENTARY SCHOOL,ADAMS,10018006,LONGFELLOW ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,392,214,0.5459,,
2014-2015,ADAMS-MORTON ELEMENTARY SCHOOL,ADAMS,10018007,MORTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,352,229,0.6506,,
2014-2015,ADAMS-RAYMOND A WATSON ELEM SCHOOL,ADAMS,10018008,RAYMOND A WATSON ELEM SCHOOL,ELEMENTARY                    ,PK-05,183,70,0.3825,,
2014-2015,ADAMS-ADAMS CENTRAL JR-SR HIGH SCH,ADAMS,10090001,ADAMS CENTRAL JR-SR HIGH SCH,SECONDARY                     ,2016-07-12,459,86,0.1874,,
2014-2015,ADAMS-JUNIATA ELEMENTARY SCHOOL,ADAMS,10090002,JUNIATA ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,175,41,0.2343,,
2014-2015,ADAMS-EAST ELEMENTARY SCHOOL,ADAMS,10090003,EAST ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,128,14,0.1094,,
2014-2015,ADAMS-WALLACE ELEMENTARY SCHOOL,ADAMS,10090006,WALLACE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,128,20,0.1563,,
