CSD_ID,Season,County,year_group,count,average_level
404345000000000,Spring,BUFFALO,201,5,28.632008
404924000000000,Spring,BUFFALO,201,4,22.2625
405124000000000,Spring,BUFFALO,201,2,157.24
404953000000000,Spring,BUFFALO,201,5,136.230008
404138000000000,Spring,BUFFALO,201,4,8.6975
405044000000000,Spring,BUFFALO,201,3,47.99666666666666666666666667
405637000000000,Spring,BUFFALO,201,5,61.944
410018000000000,Fall,BUFFALO,201,1,54.83
410018000000000,Spring,BUFFALO,201,5,44.89
410136000000000,Fall,BUFFALO,201,1,26.22
410136000000000,Spring,BUFFALO,201,5,23.688
405545000000000,Spring,BUFFALO,201,5,41.766
404336000000000,Spring,BUFFALO,201,5,133.392
404520000000000,Spring,BUFFALO,201,5,45.692
404423000000000,Spring,BUFFALO,201,5,11.695994
404951000000000,Spring,BUFFALO,201,5,39.52
404436000000000,Spring,BUFFALO,201,5,16.842
404618000000000,Spring,BUFFALO,201,8,18.46
404618000000000,Summer,BUFFALO,201,5,16.242
404618000000000,Fall,BUFFALO,201,5,18.418
404618000000000,Winter,BUFFALO,201,5,18.478
404205000000000,Spring,BUFFALO,201,5,15.808008
405538000000000,Spring,BUFFALO,201,5,110.462
405538000000000,Fall,BUFFALO,201,1,113.94
405604000000000,Spring,BUFFALO,201,1,42.45
404650000000000,Spring,BUFFALO,201,5,13.344008
404901000000000,Spring,BUFFALO,201,10,89.136004
405656000000000,Spring,BUFFALO,201,4,61.055
404334000000000,Spring,BUFFALO,201,10,10.524
404334000000000,Fall,BUFFALO,201,1,16.32
404051000000000,Spring,BUFFALO,201,4,15.6450075
404235000000000,Spring,BUFFALO,201,6,16.17666666666666666666666667
404235000000000,,BUFFALO,201,1,15.56
405403000000000,Spring,BUFFALO,201,5,185.348
404949000000000,Spring,BUFFALO,201,5,33.596
404146000000000,Spring,BUFFALO,201,5,10.636008
404218000000000,Spring,BUFFALO,201,2,7.29
405322000000000,Spring,BUFFALO,201,5,33.904
405137000000000,Spring,BUFFALO,201,19,147.6221052631578947368421053
405137000000000,Summer,BUFFALO,201,8,130.1775
405137000000000,Fall,BUFFALO,201,3,132.0866666666666666666666667
405137000000000,Winter,BUFFALO,201,5,131.79
405939000000000,Spring,BUFFALO,201,5,27.10
404755000000000,Spring,BUFFALO,201,5,21.372
404611000000000,Spring,BUFFALO,201,5,135.79
