College Name,Degree,Major Code,Major Name,Non-Resident Alien Male,Non-Resident Alien Female,Hispanic/Latino Male,Hispanic/Latino Female,American Indian or Alaska Native Male,American Indian or Alaska Native Female,Asian Male,Asian Female,Black or African American Male,Black or African American Female,Native Hawaiian/Pacific Islander Male,Native Hawaiian/Pacific Islander Female,White Male,White Female,Two or more races Male,Two or more races Female,Race and ethnicity unknown Male,Race and ethnicity unknown Female
College of Agri Sci and Natl Resources,B1AB,ABUS,Agribusiness,,,,,,,,,,,,,39,13,2,,,
College of Agri Sci and Natl Resources,B1SC,AESC,Agricultural & Env Sci Comm,,,,,,,,,,,,,,4,,,,
College of Agri Sci and Natl Resources,B1AE,AECN,Agricultural Economics,2,,,,,,,,,,,,14,1,,,,
College of Agri Sci and Natl Resources,B1ED,AEDU,Agricultural Education,,,,,,,,,,,,,6,15,,1,,1
College of Agri Sci and Natl Resources,B1AG,AGRO,Agronomy,,1,,,,,,,,,,,37,5,,1,,
College of Agri Sci and Natl Resources,B1AS,ASCI,Animal Science,,,,4,,,,1,,,,1,22,38,2,2,,
College of Agri Sci and Natl Resources,B1AP,APSC,Applied Science,,,,,,,,,,,,,7,,,,,
College of Agri Sci and Natl Resources,B1BC,BIOC,Biochemistry,,,1,,,,,,,1,,,1,6,,,,
College of Agri Sci and Natl Resources,B1ER,ENRS,Environmental Restoration Sci,,,1,,,,,,,,,,,1,,,,
College of Agri Sci and Natl Resources,B1ES,ENVR,Environmental Studies,,,,,,,,,,,,,5,4,,,,
College of Agri Sci and Natl Resources,B1FW,FWL,Fisheries and Wildlife,,,2,1,,,,,2,,,,20,12,,,,
College of Agri Sci and Natl Resources,B1FS,FDST,Food Science and Technology,,1,1,,,,1,,1,,,,3,3,,1,,
College of Agri Sci and Natl Resources,B1FC,FTCA,Food Tech for Companion Animal,,,,,,,,,,,,,1,2,,,,
College of Agri Sci and Natl Resources,B1FO,FORS,Forensic Science,,,2,3,,,1,,,,,,5,27,,1,,
College of Agri Sci and Natl Resources,B1GL,GRLS,Grazing Livestock Systems,,,,,,,,,,,,,,1,,,,
College of Agri Sci and Natl Resources,B1HO,HORT,Horticulture,1,,,,,,,,,,,,1,3,,,,
College of Agri Sci and Natl Resources,BAHR,HRTA,HRTM-(Ecotourism/Parks &Recreation Options Only),,,,1,,,,,,,,,,3,,,,
College of Agri Sci and Natl Resources,B1IS,INSC,Insect Science,,,,,,,,,,,,,3,,,,,
College of Agri Sci and Natl Resources,B1IN,ITSC,Integrated Science,2,5,,,,,,,,,,,,,,,,
College of Agri Sci and Natl Resources,B1MS,MSYM,Mechanized Systems Management,,,,,,,,,,,,,16,,,,1,
College of Agri Sci and Natl Resources,B1MB,MBIO,Microbiology,,,,,,,,,,,,,2,,,,,
College of Agri Sci and Natl Resources,B1NE,NREE,Natural Res & Environ Economic,,,,,,,,,,,,,1,1,,,,
College of Agri Sci and Natl Resources,B1PM,PGAM,PGA Golf Management,1,,,,1,,,,,,,,13,,,,1,
College of Agri Sci and Natl Resources,B1PB,PBIO,Plant Biology,,,,,,,,,,,,,1,1,,,,
College of Agri Sci and Natl Resources,B1TL,TLMT,Turfgrass and Landscape Mngt,,,,,,,,,,,,,2,,,,1,
College of Agri Sci and Natl Resources,B1VS,VBMS,Veterinary Science,,,,2,,,,,,,,,1,7,,,,1
College of Agri Sci and Natl Resources,B1WS,WATR,Water Science,,,,,,,,,,,,,1,,,,,
College of Agri Sci and Natl Resources,NDEG,EXPS,General - CASNR,,,,,,,,,,,,,,1,,,,
College of Agri Sci and Natl Resources,NDEG,PAGS,Pre-Agricultural Sci (Omaha),,,,,,,,,1,,,,,1,,,,
College of Agri Sci and Natl Resources,NDEG,PHRT,Pre-Horticulture (Omaha),,,,,,,,,,1,,,1,,,,,
College of Agri Sci and Natl Resources,NDEG,PNAR,Pre-Natural Resources (Omaha),,,,1,,,,,,,,,,1,,,,
College of Agri Sci and Natl Resources,NDEG,PTLM,Pre-Turfgrass & Landscape Mgmt (Omaha),,,,,,,,,,,,,1,,,,,
College of Agri Sci and Natl Resources,NDEG,PVET,Pre-Veterinary Medicine,,,,3,,,1,,,2,,,5,36,,2,,
College of Architecture,NDEG,PARC,Pre-Architecture,,,5,2,,,1,,2,,,,30,16,2,,,1
College of Architecture,NDEG,PARC,Pre-Architecture (Omaha),,,1,,,,,,1,,,,2,,,,,
College of Architecture,NDEG,PINT,Pre-Interior Design,,1,,1,,,,,,,,,1,19,,2,,
College of Architecture,NDEG,PLAR,Pre-Landscape Architecture,,,,,,,,,,,,,2,2,,,,
College of Arts and Sciences,BS,AACTS,Actuarial Science,,,1,,,,,,,,,,2,1,,,,
College of Arts and Sciences,BA,ANTH,Anthropology,,,,1,,,,,,,,,3,5,,,1,
College of Arts and Sciences,BS,ABIOC,Biochemistry,1,1,2,1,,,1,8,1,2,,,10,17,,,,
College of Arts and Sciences,BS,BIOS,Biological Sciences,3,3,3,8,,,1,2,1,9,,,37,56,2,2,,
College of Arts and Sciences,BS,CHEM,Chemistry,1,1,3,,,,,1,,,,,7,6,1,,,1
College of Arts and Sciences,BA,CLNG,Classical Languages,,,,,,,,,,,,,3,,,,,
College of Arts and Sciences,BA,CLRS,Classics and Religious Studies,,,,,,,,,,,,,,1,,,,
College of Arts and Sciences,BA,COMM,Communication Studies,1,,1,1,,,3,,,,,,4,6,1,,,
College of Arts and Sciences,BA,COMP,Computer Science,2,,1,,,,,,,,,,,,,,,
College of Arts and Sciences,BS,COMP,Computer Science,16,6,6,2,,,3,2,2,,,,70,9,4,2,3,1
College of Arts and Sciences,BA,AECON,Economics,,,,,,,,,,,,,3,2,,,,
College of Arts and Sciences,BA,ENGL,English,,,,2,,1,,,,,,,3,20,1,,,
College of Arts and Sciences,BA,AENVR,Environmental Studies,,,,1,,,,,,,,,1,2,,,,
College of Arts and Sciences,BA,FILM,Film Studies,,,1,1,,,1,,,1,,,3,1,,,,
College of Arts and Sciences,BA,FREN,French,,,,,,,,,,,,,,1,1,,,
College of Arts and Sciences,BS,GEOL,Geology,2,,2,,,,,,,,,,3,,,,,
College of Arts and Sciences,BA,GLST,Global Studies,,,1,1,,,1,1,,2,,,4,14,,1,,
College of Arts and Sciences,BA,HIST,History,,,,,,,,,,,,,13,3,,,,
College of Arts and Sciences,BA,MATH,Mathematics,,,,,,,,1,,,,,,,,,,
College of Arts and Sciences,BS,MATH,Mathematics,7,,2,,,,,1,,1,,,6,15,1,2,,
College of Arts and Sciences,BS,METR,Meteorology-Climatology,,,,,,,,,,,,,6,8,1,1,,
College of Arts and Sciences,BS,MBIO,Microbiology,,,1,,,,,,,,,,1,1,,,,
College of Arts and Sciences,BS,PHYS,Physics,2,,2,,,,,,,,,,16,2,,,,
College of Arts and Sciences,BA,POLS,Political Science,,1,5,,,,,,1,1,,,7,19,,,,
College of Arts and Sciences,BA,PSYC,Psychology,,5,3,9,,,,2,4,11,,,14,84,1,6,,2
College of Arts and Sciences,BS,PSYC,Psychology,,,,,,,,,,,,,1,1,,,,
College of Arts and Sciences,BA,RUSS,Russian,,,,,,,,,,,,,,1,,,,
College of Arts and Sciences,BA,SOCI,Sociology,,,,3,,,1,,,,,,,5,,,,
College of Arts and Sciences,BA,SPAN,Spanish,,,,1,,,,,,1,,,,3,,,,
College of Arts and Sciences,BA,WGST,Women's & Gender Studies,,,,1,,,,,,,,,,1,,,,
College of Arts and Sciences,NDEG,UNDL,Undeclared - Undergraduate,,1,,,,,,,,,,,2,,,,,
College of Business Administration,BSBA,ACCG,Accounting,5,4,,2,,,4,1,,,,,42,14,1,,,1
College of Business Administration,BSBA,ACTS,Actuarial Science,,,3,1,,,,,,,,,30,12,1,,,
College of Business Administration,BSBA,JEAS,Actuarial Science (Raikes progam only),,,,,,,,,,,,,2,,,,,1
College of Business Administration,BSBA,BABUS,Agribusiness,,,,,,,1,,,,,,8,3,,,,
College of Business Administration,BSBA,BSAD,Business Administration,7,1,16,7,2,,2,,5,3,1,,181,86,9,3,2,1
College of Business Administration,BSBA,ECON,Economics,1,1,,,,,1,,,,,,19,2,,,,
College of Business Administration,BSBA,FINA,Finance,5,6,1,1,,,,,3,,,,44,11,,1,1,
College of Business Administration,BSBA,FINB,Finance (Banking & Fin Inst),,,,,,,,,,,,,1,,,,,
College of Business Administration,BSBA,JEFN,Finance (Raikes progam only),,,,,,,,,,,,,1,2,,,,
College of Business Administration,BSBA,IBUS,International Business,4,,3,1,1,,1,,,1,,,8,10,,1,,
