CombinedFIPS,STATE,County name,NaturalAmenityScale
27125,MN,RED LAKE,-6.40
27167,MN,WILKIN,-6.10
18159,IN,TIPTON,-5.40
27107,MN,NORMAN,-5.37
27099,MN,MOWER,-5.18
38067,ND,PEMBINA,-5.18
38097,ND,TRAILL,-5.12
27039,MN,DODGE,-5.08
38035,ND,GRAND FORKS,-5.01
27113,MN,PENNINGTON,-4.97
27069,MN,KITTSON,-4.90
19075,IA,GRUNDY,-4.86
38017,ND,CASS,-4.84
18007,IN,BENTON,-4.71
17019,IL,CHAMPAIGN,-4.55
19119,IA,LYON,-4.49
19109,IA,KOSSUTH,-4.47
19191,IA,WINNESHIEK,-4.44
18023,IN,CLINTON,-4.37
55019,WI,CLARK,-4.34
27135,MN,ROSEAU,-4.30
27133,MN,ROCK,-4.25
19141,IA,OBRIEN,-4.23
17147,IL,PIATT,-4.21
38073,ND,RANSOM,-4.21
27071,MN,KOOCHICHING,-4.20
19069,IA,FRANKLIN,-4.18
27027,MN,CLAY,-4.17
19089,IA,HOWARD,-4.16
27117,MN,PIPESTONE,-4.13
19131,IA,MITCHELL,-4.10
19065,IA,FAYETTE,-4.09
19081,IA,HANCOCK,-4.06
19091,IA,HUMBOLDT,-4.05
27089,MN,MARSHALL,-4.05
31185,NE,YORK,-4.05
19067,IA,FLOYD,-4.03
17053,IL,FORD,-4.02
31179,NE,WAYNE,-4.02
17075,IL,IROQUOIS,-4.00
31059,NE,FILLMORE,-4.00
38095,ND,TOWNER,-3.99
18075,IN,JAY,-3.98
21213,KY,SIMPSON,-3.98
27173,MN,YELLOW MEDIC,-3.98
18139,IN,RUSH,-3.97
27109,MN,OLMSTED,-3.96
17105,IL,LIVINGSTON,-3.95
19107,IA,KEOKUK,-3.95
38099,ND,WALSH,-3.95
19023,IA,BUTLER,-3.94
39101,OH,MARION,-3.93
26057,MI,GRATIOT,-3.92
46083,SD,LINCOLN,-3.91
27129,MN,RENVILLE,-3.90
17107,IL,LOGAN,-3.89
17175,IL,STARK,-3.87
19095,IA,IOWA,-3.84
30019,MT,DANIELS,-3.82
19189,IA,WINNEBAGO,-3.81
38077,ND,RICHLAND,-3.81
18145,IN,SHELBY,-3.76
27119,MN,POLK,-3.76
17177,IL,STEPHENSON,-3.75
19079,IA,HAMILTON,-3.74
27151,MN,SWIFT,-3.74
27159,MN,WADENA,-3.74
18179,IN,WELLS,-3.73
18135,IN,RANDOLPH,-3.72
21087,KY,GREEN,-3.72
38063,ND,NELSON,-3.72
39033,OH,CRAWFORD,-3.71
19127,IA,MARSHALL,-3.70
19167,IA,SIOUX,-3.70
