SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
020998-TH-0700,2,10TH STREET AUTOMOTIVE,1101 SOUTH 10TH,OMAHA,NE,68108,7,5/7/97,1101 SOUTH 10TH,OMAHA,DOUGLAS,GASOLINE & DIESEL,2440,10TH STREET AUTOMOTIVE
060413-MP-1130,3,156 PLAZA LLC,5709 F STREET,OMAHA,NE,68117,7,6/4/13,15605 WEST CENTER RD,OMAHA,DOUGLAS,GASOLINE,,EDDYS
102893-QK-0800,2,24TH & DODGE LIMITED PART,2223 DODGE,OMAHA,NE,68102,7,4/23/90,2223 DODGE,OMAHA,DOUGLAS,GASOLINE,2420,ENRON PARKING GARAGE
091097-GW-0817,3,30TH STREET CAR WASH,4918 N 30TH STREET,OMAHA,NE,68111,7,7/24/97,4918 N 30TH ST,OMAHA,DOUGLAS,GASOLINE,4081,30TH STREET CAR WASH
013190-TH-0914,T,7 MILE INN,"RR2, BOX 206",COLUMBUS,NE,68601,7,3/6/92,7-INN HWY 81 RR 2,COLUMBUS,BUTLER,GASOLINE,7550,7 MILE INN
062294-SM-0715,9,A B GENDLER,11222 DAVENPORT,OMAHA,NE,68154,7,3/5/91,1112 N 13TH ST,OMAHA,DOUGLAS,GASOLINE & DIESEL,7172,A B GENDLER
021993-TH-1531,2,A G PROCESSING INC,11717 BURT ST,OMAHA,NE,68154,7,11/19/92,6501 N 9TH ST,OMAHA,DOUGLAS,DIESEL,3515,A G PROCESSING INC
040894-NH-1100,9,A GLENN KLUCK COMPANY,RR 5 BOX 190,RICHLAND,NE,68657,7,8/6/90,RR 5 BOX 190,RICHLAND,COLFAX,GASOLINE DIESEL,7937,A GLEN KLUCK CO
03155-NEW-0830,9,A&A SERVICE,BOX 126,STAPLETON,NE,69163,7,3/14/85,HWY 92 & F ST,STAPLETON,LOGAN,GASOLINE,6359,A&A SERVICE
011096-TH-0852,2,A&B ONE STOP,3159 MYRTLE AVE,OMAHA,NE,68131,7,11/14/95,2542 CUMING ST,OMAHA,DOUGLAS,GASOLINE,7703,OK MART - A & B ONE STOP
112398-CT-1520,T,ACE MOVING & STORAGE,7820 L ST,OMAHA,NE,68127,7,8/12/98,7820 L ST,OMAHA,DOUGLAS,GASOLINE,3833,ACE MOVING & STORAGE
092794-GW-1630,3,ACORN FERTILIZER,,,,,7,7/2/91,301 LOGAN AVE,OAKLAND,BURT,GASOLINE DIESEL,6118,TERRA INTERNATIONAL INC
04179-NEW-1000,9,ADAMS & WEBSTER ST - UNK,,,,,7,4/10/89,MORRILL,MORRILL,SCOTTS BLUFF,,,"UNK, MORRILL"
02186-CCC-1345,9,AG VALLEY COOP,P.O. BOX 85,MAYWOOD,NE,69038,7,2/18/86,HWY 23 & POPE AVE.,CURTIS,FRONTIER,UNLEADED,971,AG VALLEY COOP
090998-GW-0945,T,AG VALLEY COOP,BOX 68,EDISON,NE,68936,7,9/8/98,HWY 6 & 34 & COMMERCIAL NW CRN,BARTLEY,RED WILLOW,GASOLINE AND DIESEL,7339,AG VALLEY COOP-BARTLEY BR
111813-NM-1035,1,AG VALLEY COOP,PO BOX 68,EDISON,NE,68936,7,11/12/13,202 W 2ND ST,CURTIS,FRONTIER,GASOLINE/DIESEL,971,AG VALLEY COOP
103114-DB-0855,1,AG VALLEY COOP,PO BOX 68,EDISON,NE,68936,7,10/31/14,202 W 2ND ST,CURTIS,FRONTIER,"GASOLINE, DIESEL",971,CURTIS C-STORE
12069-DWT-1300,9,"AGLAND COOP, OAKLAND",BOX 125,OAKLAND,NE,68045,7,8/29/89,107 WEST 2ND,OAKLAND,BURT,"GAS, DIESEL, KEROSENE",2161,"COOP, AGLAND OAKLAND"
01290-DDB-1040,9,AGRI COOP,310 LOGAN STREET,HOLDREGE,NE,68949,7,12/5/89,1016 4TH AVENUE,HOLDREGE,PHELPS,GASOLINE,4471,AGRI COOP - HOLDREGE
08116-BHI-1400,9,AKSARBEN 66 - UNK,,,,,7,8/11/86,6002 CENTER RD (NW CRNR),OMAHA,DOUGLAS,GASOLINE,2480,AKSARBEN 66 (AMOCO #5113)
080392-NM-0840,2,AL'S REPAIR,BOX 138,DWIGHT,NE,68535,7,7/31/92,4TH & MAPLE,DWIGHT,BUTLER,GAS & DIESEL,8505,AL'S REPAIR
030910-TH-0935,T,ALBION TIRE & OIL,1469 190TH AVE,PETERSBURG,NE,68650,7,11/19/09,119 S 5TH ST,ALBION,BOONE,"GASOLINE, DIESEL",6311,ALBION TIRE & OIL
041994-CT-1410,2,ALEXANDER MOTORS,RR 2 BOX 18,SUPERIOR,NE,68978,7,2/4/94,302 COMMERCIAL ST,SUPERIOR,NUCKOLLS,GASOLINE,2035,ALEXANDER MOTORS INC
022502-GW-0837,3,ALFORD OIL,11043 I ST,OMAHA,NE,68137,7,11/15/01,"8928 MAPLE ST, 90TH & MAPLE NE",OMAHA,DOUGLAS,GAS,552,COOKIES
091311-JF-0830,T,ALL POINTS COOPERATIVE,PO BOX 80,GOTHENBURG,NE,69138,7,9/12/11,606 MAIN ST,SUMNER,DAWSON,DIESEL FUEL,9,ALL POINTS COOPERATIVE
102114-DB-1510,T,ALL POINTS COOPERATIVE,PO BOX 80,GOTHENBURG,NE,69138,7,10/20/14,302 8TH ST,GOTHENBURG,DAWSON,GASOLINE,12034,GOTHENBURG AMPRIDE
070892-TH-1517,2,"ALPERSON, PAUL",305 HEAVENLY DRIVE,OMAHA,NE,68127,7,6/3/92,6405 CENTER STREET,OMAHA,DOUGLAS,GASOLINE AND HEATING OIL,3599,OIL PRODUCTS
091492-NM-1330,2,AMERICAN CHARTER,206 S 13TH ST #200,LINCOLN,NE,68508,7,9/3/92,546 JACKSON ST.,SEWARD,SEWARD,GASOLINE (?),,AMERICAN CHARTER FED SAV
091492-NM-1340,2,AMERICAN CHARTER,206 S 13TH ST #200,LINCOLN,NE,68508,7,9/1/92,13TH & M ST,LINCOLN,LANCASTER,GAS AND OILS,,AMERICAN CHARTER PARK GAR
071493-NM-1455,2,AMERICAN HYDRAULICS INC,3701 N 16TH ST,OMAHA,NE,68110,7,5/17/91,3701 N 16TH ST,OMAHA,DOUGLAS,GASOLINE,2478,AMERICAN HYDRAULICS INC
102698-TH-0915,T,AMERICAN LABORATORIES,4410 S 102ND ST,OMAHA,NE,68127,7,6/17/98,4410 S 102ND ST,OMAHA,DOUGLAS,HEXANE,4497,AMERICAN LABORATORIES
071693-NM-1020,2,AMOCO OIL CO,8700 INDIAN CREEK PW,OVERLAND PARK,KS,66210,7,12/17/90,"4855 S 108TH, O AND 108TH NE C",OMAHA,DOUGLAS,WASTE OIL,499,AMOCO SVC STATION 5750
092491-CT-1600,T,AMOCO OIL CO,PO BOX 15748,SHAWNEE MISSION,KS,66285,7,9/4/91,5203 MILITARY AVE,OMAHA,DOUGLAS,GAS DIESEL,487,AMOCO STATION #5133
030295-JB-0930,2,ANSON FERTILIZER,RR 1 BOX 23A,BRUNSWICK,NE,68720,6,3/2/95,1ST & TRACY,BRUNSWICK,ANTELOPE,UNDETERMINED PETROLEUM,6315,ANSON FERTILIZER
030499-KM-0912,9,"ANTON NOVAK,DECEASED",,,,,7,3/3/99,MADISON ST,BRAINARD,BUTLER,"GASOLINE, DIESEL",7287,FORMER NOVAK SERVICE STA
080211-KM-1055,T,AOI CORP,8801 S 137TH CIRCLE,OMAHA,NE,68138,7,8/2/11,910 N 43RD AVE,OMAHA,DOUGLAS,GASOLINE,5562,QUEST COMMUNICATIONS CORP
122313-TH-1400,T,ARBOR MANOR INC,2550 N NYE,FREMONT,NE,68025,7,10/9/13,2550 N NYE,FREMONT,DODGE,GASOLINE,3430,ARBOR MANOR INC
082995-DB-1410,2,ARCHER DANIELS MIDLAND,PO BOX 29268,LINCOLN,NE,68529,6,8/29/95,7800 THAYER,LINCOLN,LANCASTER,#2 AND #6 FUEL OIL,,ADM OLD BOILER HOUSED
070891-CT-1150,2,ARMATURE & ELECTRIC,4425 S 87TH ST,OMAHA,NE,68127,7,6/14/91,4425 S 87TH ST,OMAHA,DOUGLAS,GAS,2472,ARMATURE & ELECTRIC MACH
040699-JB-1320,T,ARMSTRONG TRADING POST,1101 NORTH SPRUCE ST,OGALLALA,NE,69153,7,4/6/99,1101 NORTH SPRUCE ST,OGALLALA,KEITH,GASOLINE,1776,ARMSTRONG TRADING POST
021595-GW-1000,2,ARMY CORPS OF ENGINEERS,PO BOX 13287,OFFUTT A F B,NE,68113,14,12/12/94,ALLIANCE AIRPORT #7-9,ALLIANCE,BOX BUTTE,FUEL OIL,11281,ALLIANCE ARMY AIRFLD #7-9
022493-NM-1648,T,ARMY CORPS OF ENGINEERS,215 N 17TH ST,OMAHA,NE,68102,7,4/17/91,BLDG 488  TK25 TK26 TK27,LINCOLN,LANCASTER,JET FUEL JP4,2578,PMPHSE 3  TK25 TK26 TK27
022493-NM-1651,T,ARMY CORPS OF ENGINEERS,215 N 17TH ST,OMAHA,NE,68102,7,4/15/91,BLDG 405  TK33 TK34,LINCOLN,LANCASTER,AVIATION GASOLINE,2576,PMPHSE 1  TK33 TK34
080706-MP-1600,T,ARMY CORPS OF ENGINEERS,106 S 15TH ST,OMAHA,NE,68102,7,8/4/06,SIX MILES NW OF SIDNEY,SIDNEY,CHEYENNE,GASOLINE,,SIOUX ARMY DEPOT
082191-NM-1221,T,ARMY CORPS OF ENGINEERS,215 N 17TH ST,OMAHA,NE,68102,7,4/29/91,BLDG 405 OR 408,LINCOLN,LANCASTER,AVIATION GASOLINE,2576,PUMPHOUSE 1 TK36 - TK47
031894-GW-1545,9,ARROW STAGE LINES,7728 F ST,OMAHA,NE,68127,7,11/16/90,7728 F ST,OMAHA,DOUGLAS,DIESEL GASOLINE,5238,ARROW STAGE LINES
101497-NM-1100,3,ARTHUR RANCH SUPPLY,MAIN STREET,ARTHUR,NE,69121,7,10/13/97,MAIN ST,ARTHUR,ARTHUR,GASOLINE & DIESEL,3405,ARTHUR RANCH SUPPLY
083094-TH-1348,T,ASHLAND-GREENWOOD PUB SCH,1200 BOYD ST,ASHLAND,NE,68003,14,7/15/94,1200 BOYD ST,ASHLAND,SAUNDERS,HEATING OIL,8892,AHSLAND-GREENWOOD PUB SCH
052505-DB-2005,T,B & J PETROLEUM,PO BOX 447,OGALLALA,NE,69153,7,5/18/05,101 PONY EXPRESS RD,OGALLALA,KEITH,#2 DIESEL FUEL,2916,GAS & GO 66
041499-TH-0913,2,B & W COMPANY,3333 KEYSTONE,OMAHA,NE,68134,7,10/15/98,2340 KEYSTONE DR,OMAHA,DOUGLAS,DIESEL,11738,LAIDLAW TRANSIT INC
031700-JB-1215,9,B BRUNNER LLC,,,,,7,3/14/00,801 W 3RD ST,CHADRON,DAWES,GASOLINE,1592,CHARLIE'S SERVICE
071693-NM-0715,2,B C DRESSED BEEF,222 S 15TH ST,OMAHA,NE,68102,7,1/7/91,5025 S 33RD ST,OMAHA,DOUGLAS,FUEL OIL,5167,OMAHA COLD STORAGE TERMIN
070992-TH-1341,2,B&D SERVICE,215 MAIN ST,HALLAM,NE,68368,7,6/9/92,215 MAIN ST,HALLAM,LANCASTER,"GASOLINE, WASTE OIL, DIESEL",5162,B & D SERVICE
061592-NM-0846,T,B&J PETROLUEM INC,"115 E. 1ST, BOX 447",OGALLALA,NE,69153,7,5/29/92,101 PONY EXPRESS LANE-GAS & GO,OGALLALA,KEITH,"GASOLINE, DIESEL",2916,GAS-N-GO
040804-JF-0800,9,BARN STORE INC,1202 S WILLOW,NORTH PLATTE,NE,69101,7,4/7/04,2500 W FRONT ST,NORTH PLATTE,LINCOLN,FREE FLOATING PROD (GAS/DIESEL,2602,BARN STORE INC
081992-KM-1640,2,BARNEYS JUNCTION % ZWICK,9820 PACIFIC AVE SE,OLYMPIA,WA,98513,7,8/19/92,1028 LINCOLN AVE,YORK,YORK,GASOLINE,4210,BARNEYS JUNCTION
040793-NM-1000,3,"BAUMANN, GORDON",504 N 13TH ST,NORFOLK,NE,68701,7,3/16/93,504 N 13TH ST,NORFOLK,MADISON,GASOLINE,3832,GORDY'S CONOCO
11169-BHI-0945,9,BAYARD PUBLIC SCHOOLS,BOX 607,BAYARD,NE,69334,7,11/9/89,724 4TH ST.,BAYARD,MORRILL,GASOLINE,1373,BAYARD PUBLIC SCHOOLS
040591-TH-0815,3,BEATTY GARAGE,1017 5TH ST,PERU,NE,68421,7,4/5/91,720 5TH ST,PERU,NEMAHA,PETROLEUM,3776,BEATTY GARAGE
08298-DBH-1540,9,BEHRENDS SERVICE,P.O. BOX 22,DILLER,NE,68342,7,8/29/88,MAIN STREET,DILLER,JEFFERSON,GASOLINE,6034,BEHRENDS SERVICE
091891-CT-1125,T,BELLEVUE PUBLIC SCHOOLS,2009 FRANKLIN ST,BELLEVUE,NE,68005,14,6/18/91,2908 VANDENBERG DR,BELLEVUE,SARPY,FUEL OIL,8554,PETER SARPY ELEMENTARY
071594-GW-1615,2,"BELT, DALLAS & BARBARA",8426 PHEASANT GLEN,SPRING,TX,77379,14,7/15/94,1626 D ST,LINCOLN,LANCASTER,HEATING OIL (#2 DIESEL),11217,HEATHER RIDGE APARTMENTS
